TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0003150994307361543,0.0003736171347554773,0.0005046774749644101,7.768067007418722e-05,0.00028409206424839795,7.619774260092527e-05,0.00331001915037632,0.0028145057149231434,7.798473961884156e-05,0.043026648461818695,0.00011949375766562298,0.002816024236381054,0.04306860268115997,7.784498302498832e-05,0.0001203238862217404,0.00010931234282907099,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09
120.0,0.0006275763153098524,0.0007441260386258364,0.0010051527060568333,0.00015471393999177963,0.0005658190348185599,0.00015175575390458107,0.006592307239770889,0.0056054373271763325,0.00015531493409071118,0.08569291234016418,0.00023798557231202722,0.005608461797237396,0.08577647060155869,0.00015503657050430775,0.00023963899002410471,0.00021770740568172187,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09
180.0,0.0009274998446926475,0.0010994301410391927,0.0014854470500722528,0.0002285670198034495,0.0008361075888387859,0.00022094867017585784,0.009597886353731155,0.008161122910678387,0.00022614163754042238,0.12476158887147903,0.0003465151530690491,0.008165651932358742,0.1248866617679596,0.00022572548186872154,0.00034899107413366437,0.00031697138911113143,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09,1.011423833574554e-09
240.0,0.0011883338447660208,0.001409341348335147,0.0019031638512387872,0.00029357525636442006,0.0010712638031691313,0.00026957341469824314,0.01170924212783575,0.009956655092537403,0.0002759584167506546,0.15220622718334198,0.0004228478646837175,0.009962689131498337,0.15237101912498474,0.00027542648604139686,0.0004261446592863649,0.00038676371332257986,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09,1.015166284368263e-09
300.0,0.0014459628146141768,0.001713064149953425,0.002315401565283537,0.00035653726081363857,0.0013029099209234118,0.000317704223562032,0.013799016363918781,0.011733985505998135,0.00032526510767638683,0.17937012016773224,0.0004984091501682997,0.011741526424884796,0.1795765459537506,0.00032459458452649415,0.0005025292048230767,0.0004558086802717298,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09,1.0189086241396694e-09
360.0,0.0017035985365509987,0.0020167941693216562,0.0027276366017758846,0.0004195008659735322,0.0015345619758591056,0.00036583980545401573,0.01588892750442028,0.013511456549167633,0.0003745767753571272,0.20653584599494934,0.0005739753250963986,0.013520503416657448,0.20678387582302094,0.0003737676306627691,0.0005789186689071357,0.000524858187418431,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09,1.0226510749333784e-09
420.0,0.0019612403120845556,0.0023205317556858063,0.0031398809514939785,0.0004824660427402705,0.0017662195023149252,0.00041397855966351926,0.01797897182404995,0.01528903841972351,0.0004238915571477264,0.23370328545570374,0.0006495463894680142,0.015299591235816479,0.23399290442466736,0.0004229437909089029,0.0006553130224347115,0.0005939120310358703,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09,1.0263935257270873e-09
480.0,0.0022188881412148476,0.0026242765597999096,0.003552134847268462,0.0005454327329061925,0.001997882267460227,0.0004621202533598989,0.020069144666194916,0.017066730186343193,0.0004732093366328627,0.26087236404418945,0.0007251219940371811,0.017078790813684464,0.2612036168575287,0.0004721229779534042,0.0007317119743674994,0.000662966922391206,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09,1.0301358654984938e-09
540.0,0.0024765406269580126,0.0029280271846801043,0.003964396193623543,0.0006084006745368242,0.00222954829223454,0.0005102644208818674,0.022159423679113388,0.018844513222575188,0.0005225296481512487,0.2880428731441498,0.0008007014403119683,0.018858078867197037,0.28841572999954224,0.0005213046679273248,0.0008081147680059075,0.000732025015167892,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09,1.0338783162922027e-09
600.0,0.00273566204123199,0.0032367531675845385,0.004379458725452423,0.0006734399939887226,0.002463351935148239,0.0005584745085798204,0.024252645671367645,0.020624693483114243,0.000571925425902009,0.3152511417865753,0.0008763822843320668,0.020639773458242416,0.3156631588935852,0.000570590840652585,0.0008846199489198625,0.0008012300822883844,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09,1.0376207670859117e-09
