TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0003150994307361543,0.0003736171347554773,0.0005046774749644101,7.768067007418722e-05,0.00028409206424839795,7.619774260092527e-05,0.00331001915037632,0.0028145057149231434,7.798473961884156e-05,0.043026648461818695,0.00011949375766562298,0.002816024236381054,0.04306860268115997,7.784498302498832e-05,0.0001203238862217404,0.00010931234282907099,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09
120.0,0.0006275936611928046,0.000744147109799087,0.00100518052931875,0.00015471836377400905,0.0005658349255099893,0.00015176442684605718,0.006592689082026482,0.005605756305158138,0.00015532383986283094,0.08569782972335815,0.00023799903283361346,0.005608780775219202,0.08578139543533325,0.00015504546172451228,0.00023965243599377573,0.0002177198330173269,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09
180.0,0.0009400887065567076,0.0011146763572469354,0.0015056862030178308,0.00023175605747383088,0.000847580493427813,0.00022733134392183274,0.009875391609966755,0.00839698500931263,0.0002326624671695754,0.1283687949180603,0.0003565048100426793,0.008401515893638134,0.12849396467208862,0.00023224548203870654,0.00035898148780688643,0.00032612730865366757,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09,1.0114379334069667e-09
240.0,0.0012525838101282716,0.0014852017629891634,0.0020061966497451067,0.00030879376572556794,0.0011293267598375678,0.0003028983483090997,0.013158058747649193,0.011188213713467121,0.0003100010217167437,0.17103976011276245,0.0004750099906232208,0.011194250546395779,0.171206533908844,0.00030944542959332466,0.000478309957543388,0.0004345355846453458,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09,1.0152398921547956e-09
300.0,0.002382324542850256,0.0025411760434508324,0.0037424899637699127,0.0005236924043856561,0.002032739110291004,0.0004610630567185581,0.01882983185350895,0.016394222155213356,0.0005304711521603167,0.24356593191623688,0.0008196028647944331,0.017052482813596725,0.26078668236732483,0.0004813406558241695,0.001178498612716794,0.000675331917591393,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09,2.5835888983749555e-09
360.0,0.00415093032643199,0.004247110337018967,0.006462450604885817,0.0009022190351970494,0.0034535638988018036,0.0006987788365222514,0.027109529823064804,0.024065237492322922,0.0008774643647484481,0.34940314292907715,0.0013585507404059172,0.025850927457213402,0.39530080556869507,0.000753600790631026,0.002331357216462493,0.0010566358687356114,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09,5.288402604719522e-09
420.0,0.005949097685515881,0.006174413021653891,0.009257414378225803,0.0013819317100569606,0.004950950387865305,0.0009602405480109155,0.036528415977954865,0.03262975066900253,0.0012498499127104878,0.47060588002204895,0.0019283725414425135,0.03551048785448074,0.5429471731185913,0.0010693639051169157,0.0034961013589054346,0.0014990627532824874,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09,7.904778165368498e-09
480.0,0.00776675483211875,0.008342733606696129,0.012116442434489727,0.0019747349433600903,0.006524919532239437,0.0012417652178555727,0.046959444880485535,0.041963133960962296,0.0016431774711236358,0.6056216955184937,0.002520983340218663,0.04589242860674858,0.7015982270240784,0.0014271719846874475,0.0046567488461732864,0.002000574953854084,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397179117660471e-08,1.0397179117660471e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397179117660471e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08,1.0397177341303632e-08
540.0,0.009614343754947186,0.010786525905132294,0.015059273689985275,0.0026946712750941515,0.008190475404262543,0.0015420631971210241,0.058348026126623154,0.05201292783021927,0.0020568964537233114,0.7538027167320251,0.0031345519237220287,0.056946929544210434,0.8704867362976074,0.0018279236974194646,0.005812723655253649,0.002562434645369649,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770472679335398e-08,1.2770472679335398e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770472679335398e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08,1.2770470902978559e-08
600.0,0.011529175564646721,0.013581584207713604,0.018149198964238167,0.003569349879398942,0.009988254867494106,0.001864321413449943,0.07080905884504318,0.06287487596273422,0.002496860921382904,0.9167207479476929,0.003776498371735215,0.06878842413425446,1.0513519048690796,0.0022790839429944754,0.006981316022574902,0.0031951076816767454,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067090686216034e-08,1.5067090686216034e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067090686216034e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08,1.5067088909859194e-08
660.0,0.013465570285916328,0.016671108081936836,0.021314337849617004,0.004581529181450605,0.011878506280481815,0.002198901493102312,0.08397518843412399,0.0742238387465477,0.0029500937089323997,1.0896100997924805,0.004427365958690643,0.08106149733066559,1.238763451576233,0.0027679523918777704,0.008126696571707726,0.0038807943928986788,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215208814036487e-08,1.7215208814036487e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215208814036487e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08,1.7215207037679647e-08
720.0,0.015427440404891968,0.02006145752966404,0.024561140686273575,0.005732809193432331,0.01386514212936163,0.002543762559071183,0.09775320440530777,0.08598124235868454,0.0034148285631090403,1.2712620496749878,0.005084369331598282,0.09369052201509476,1.4315637350082397,0.0032922455575317144,0.009247653186321259,0.004616278223693371,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221673142055806e-08,1.9221673142055806e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221673142055806e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08,1.9221671365698967e-08
780.0,0.01744641177356243,0.023809287697076797,0.027942165732383728,0.007042568176984787,0.015980619937181473,0.002901765052229166,0.1122424453496933,0.09823301434516907,0.003896170062944293,1.463011622428894,0.005754353944212198,0.10677897930145264,1.6313291788101196,0.0038574938662350178,0.010360372252762318,0.00540931336581707,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126929539150296e-08,2.1126929539150296e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126929539150296e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08,2.1126927762793457e-08
840.0,0.019491037353873253,0.02784828282892704,0.03140377998352051,0.008485468104481697,0.01819014549255371,0.003265705890953541,0.12714596092700958,0.11072985082864761,0.00438465503975749,1.6609225273132324,0.006424269173294306,0.12006364017724991,1.8340412378311157,0.004451721906661987,0.011444466188549995,0.006243093870580196,2.2899536489262573e-08,2.2899534712905734e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899540041976252e-08,2.2899540041976252e-08,2.2899536489262573e-08,2.2899534712905734e-08,2.2899538265619412e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899538265619412e-08,2.2899534712905734e-08,2.2899536489262573e-08,2.2899534712905734e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.2899534712905734e-08,2.2899536489262573e-08,2.2899536489262573e-08,2.289954181833309e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899534712905734e-08,2.2899534712905734e-08
900.0,0.021593881770968437,0.03223935887217522,0.03500049561262131,0.010082661174237728,0.02052786760032177,0.0036392691545188427,0.14260056614875793,0.12358828634023666,0.004886261187493801,1.8668265342712402,0.007102161645889282,0.1336781084537506,2.0417368412017822,0.005081602372229099,0.012517060153186321,0.007126979064196348,2.4578719504120272e-08,2.4578717727763433e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.457872305683395e-08,2.457872305683395e-08,2.4578719504120272e-08,2.4578717727763433e-08,2.457872128047711e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.457872128047711e-08,2.4578717727763433e-08,2.4578719504120272e-08,2.4578717727763433e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.4578717727763433e-08,2.4578719504120272e-08,2.4578719504120272e-08,2.457872483319079e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578717727763433e-08,2.4578717727763433e-08
960.0,0.023632442578673363,0.036684826016426086,0.0385170578956604,0.011718769557774067,0.022846991196274757,0.0040007224306464195,0.15769878029823303,0.13606597483158112,0.005370640195906162,2.068514108657837,0.00774870440363884,0.14683426916599274,2.242403745651245,0.005705572199076414,0.013515258207917213,0.008002637885510921,2.6065288594168123e-08,2.6065286817811284e-08,2.6065290370524963e-08,2.6065288594168123e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065288594168123e-08,2.6065288594168123e-08,2.6065288594168123e-08,2.606529747595232e-08,2.606529747595232e-08,2.6065290370524963e-08,2.6065286817811284e-08,2.606529392323864e-08,2.6065288594168123e-08,2.6065288594168123e-08,2.6065290370524963e-08,2.6065290370524963e-08,2.606529392323864e-08,2.6065286817811284e-08,2.6065290370524963e-08,2.6065286817811284e-08,2.6065290370524963e-08,2.6065290370524963e-08,2.6065290370524963e-08,2.6065286817811284e-08,2.6065290370524963e-08,2.6065290370524963e-08,2.606529925230916e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065286817811284e-08,2.6065286817811284e-08
1020.0,0.02571091614663601,0.041403740644454956,0.0421314537525177,0.013474601320922375,0.025263166055083275,0.0043664113618433475,0.17309467494487762,0.14870910346508026,0.005861492361873388,2.2747344970703125,0.008395585231482983,0.1601262390613556,2.445099353790283,0.006353088654577732,0.014495898969471455,0.008911396376788616,2.7466937169151606e-08,2.7466935392794767e-08,2.7466938945508446e-08,2.7466937169151606e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466937169151606e-08,2.7466937169151606e-08,2.7466937169151606e-08,2.746695315636316e-08,2.746695315636316e-08,2.7466938945508446e-08,2.7466935392794767e-08,2.7466947827292643e-08,2.7466937169151606e-08,2.7466937169151606e-08,2.7466938945508446e-08,2.7466938945508446e-08,2.7466947827292643e-08,2.7466935392794767e-08,2.7466938945508446e-08,2.7466935392794767e-08,2.7466938945508446e-08,2.7466938945508446e-08,2.7466938945508446e-08,2.7466935392794767e-08,2.7466938945508446e-08,2.7466938945508446e-08,2.746695493272e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466935392794767e-08,2.7466935392794767e-08
1080.0,0.027726536616683006,0.046118997037410736,0.04565880075097084,0.015240676701068878,0.027645597234368324,0.004718912299722433,0.18804281949996948,0.16092051565647125,0.006334254983812571,2.475369930267334,0.009012307040393353,0.17292523384094238,2.6402478218078613,0.00698816915974021,0.015412614680826664,0.009802746586501598,2.8718366351654367e-08,2.8718364575297528e-08,2.8718368128011207e-08,2.8718366351654367e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718366351654367e-08,2.8718366351654367e-08,2.8718366351654367e-08,2.871838411522276e-08,2.871838411522276e-08,2.8718368128011207e-08,2.8718364575297528e-08,2.8718377009795404e-08,2.8718366351654367e-08,2.8718366351654367e-08,2.8718368128011207e-08,2.8718368128011207e-08,2.8718377009795404e-08,2.8718364575297528e-08,2.8718368128011207e-08,2.8718364575297528e-08,2.8718368128011207e-08,2.8718368128011207e-08,2.8718368128011207e-08,2.8718364575297528e-08,2.8718368128011207e-08,2.8718368128011207e-08,2.87183858915796e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718364575297528e-08,2.8718364575297528e-08
1140.0,0.029698850587010384,0.050847165286540985,0.04912864789366722,0.017020516097545624,0.03000921569764614,0.005061420612037182,0.20265421271324158,0.17280340194702148,0.006793566979467869,2.671834707260132,0.009606124833226204,0.18534965813159943,2.8296592235565186,0.007614501751959324,0.016280921176075935,0.01068185269832611,2.985599678595463e-08,2.985599323324095e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599678595463e-08,2.9856014549523024e-08,2.9856014549523024e-08,2.985599678595463e-08,2.985599323324095e-08,2.985600744409567e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599678595463e-08,2.985600744409567e-08,2.985599323324095e-08,2.985599678595463e-08,2.985599323324095e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599678595463e-08,2.985599323324095e-08,2.985599678595463e-08,2.985599678595463e-08,2.98560181022367e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599323324095e-08,2.985599323324095e-08
