TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0003150994307361543,0.0003736171347554773,0.0005046774749644101,7.768067007418722e-05,0.00028409206424839795,7.619774260092527e-05,0.00331001915037632,0.0028145057149231434,7.798473961884156e-05,0.043026648461818695,0.00011949375766562298,0.002816024236381054,0.04306860268115997,7.784498302498832e-05,0.0001203238862217404,0.00010931234282907099,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09
120.0,0.024916302412748337,0.03031300939619541,0.04007831960916519,0.006385299377143383,0.022742480039596558,0.005009505897760391,0.21779882907867432,0.1851309984922409,0.005118668079376221,2.8313777446746826,0.007841421291232109,0.18513402342796326,2.8314614295959473,0.005118389613926411,0.007843074388802052,0.007187523413449526,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09,1.0181961940247675e-09
180.0,0.41842103004455566,0.5093522071838379,0.6731054782867432,0.10732468962669373,0.3820258378982544,0.0837235152721405,3.640143871307373,3.094125747680664,0.08554399013519287,47.321876525878906,0.13104619085788727,3.094130277633667,47.321998596191406,0.08554357290267944,0.13104866445064545,0.12012499570846558,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09,1.1929514043274025e-09
240.0,1.0201200246810913,1.2418454885482788,1.6410547494888306,0.26167047023773193,0.9313995242118835,0.2040763944387436,8.872873306274414,7.5419511795043945,0.20851342380046844,115.347412109375,0.3194247782230377,7.541957378387451,115.34757995605469,0.20851287245750427,0.31942808628082275,0.29280519485473633,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09,1.4582257623629857e-09
300.0,1.6841483116149902,2.050217866897583,2.7092721462249756,0.4320048689842224,1.5376821756362915,0.33689525723457336,14.64759635925293,12.450471878051758,0.3442196846008301,190.4188995361328,0.5273153185844421,12.450479507446289,190.41909790039062,0.3442189693450928,0.5273194313049316,0.48337122797966003,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09,1.7506002203404591e-09
360.0,2.366837501525879,2.881307363510132,3.807509183883667,0.6071261167526245,2.161003828048706,0.47344616055488586,20.58458709716797,17.496915817260742,0.48373907804489136,267.59979248046875,0.7410474419593811,17.496923446655273,267.60003662109375,0.4837382435798645,0.7410523891448975,0.6792919635772705,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09,2.0510875220480784e-09
420.0,3.0551116466522217,3.719197988510132,4.914731979370117,0.7836802005767822,2.7894246578216553,0.6111143231391907,26.570154190063477,22.584646224975586,0.6244001984596252,345.41204833984375,0.9565282464027405,22.584657669067383,345.412353515625,0.6243991851806641,0.9565340280532837,0.8768158555030823,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09,2.3540032145774603e-09
480.0,3.7450597286224365,4.55912446975708,6.024646759033203,0.9606635570526123,3.4193735122680664,0.7491168975830078,32.57026672363281,27.684741973876953,0.7654027342796326,423.41357421875,1.1725324392318726,27.684755325317383,423.4139099121094,0.7654016017913818,1.1725389957427979,1.0748194456100464,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09,2.6576465472771815e-09
540.0,4.435507774353027,5.399660110473633,7.1353654861450195,1.1377756595611572,4.049781322479248,0.8872196674346924,38.57473373413086,32.7885627746582,0.9065079092979431,501.47161865234375,1.3886938095092773,32.788578033447266,501.47198486328125,0.9065066576004028,1.3887012004852295,1.272966980934143,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09,2.961508149823544e-09
600.0,5.126102447509766,6.240381240844727,8.246325492858887,1.314926028251648,4.68032693862915,1.0253534317016602,44.58051681518555,37.89347839355469,1.0476429462432861,579.546630859375,1.6049014329910278,37.893489837646484,579.5470581054688,1.047641634941101,1.6049096584320068,1.4711565971374512,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09,3.2654350334837545e-09
