TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0003150994307361543,0.0003736171347554773,0.0005046774749644101,7.768067007418722e-05,0.00028409206424839795,7.619774260092527e-05,0.00331001915037632,0.0028145057149231434,7.798473961884156e-05,0.043026648461818695,0.00011949375766562298,0.002816024236381054,0.04306860268115997,7.784498302498832e-05,0.0001203238862217404,0.00010931234282907099,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09
120.0,0.0007074287859722972,0.0008413377217948437,0.0011336110765114427,0.00017519781249575317,0.0006387278554029763,0.0002851598837878555,0.01239248737692833,0.0105355903506279,0.00029161912971176207,0.1610952466726303,0.00044679202255792916,0.01053861528635025,0.1611787974834442,0.00029134078067727387,0.00044844544027000666,0.0004091134178452194,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09,1.0079258538908675e-09
180.0,0.0013480777852237225,0.0016159581718966365,0.002162644872441888,0.00033889833139255643,0.0012212538858875632,0.0009440455469302833,0.041037511080503464,0.034883949905633926,0.0009650309220887721,0.533484697341919,0.0014783050864934921,0.03488853946328163,0.5335890054702759,0.0009648890700191259,0.0014807959087193012,0.001354946056380868,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09,1.0129950211990035e-09
240.0,0.0016090095741674304,0.0019263379508629441,0.0025805640034377575,0.00040412574890069664,0.0014565845485776663,0.0009957794100046158,0.04328438639640808,0.036794181913137436,0.0010180692188441753,0.5626963973045349,0.0015594960423186421,0.0368003323674202,0.5628280639648438,0.0010179749224334955,0.0015628220280632377,0.001429491094313562,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.0167451325315824e-09,1.0167451325315824e-09,1.01674502150928e-09,1.01674502150928e-09,1.0167451325315824e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.0167451325315824e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.0167451325315824e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09,1.01674502150928e-09
300.0,0.0018708790885284543,0.002240261295810342,0.0030003089923411608,0.00047089270083233714,0.0016933728475123644,0.0010485636303201318,0.0455775260925293,0.03874291852116585,0.0010722540318965912,0.5925177335739136,0.0016423173947259784,0.03875069320201874,0.5926558971405029,0.0010724717285484076,0.0016464967047795653,0.0015060192672535777,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09,1.020497575332513e-09
360.0,0.002134009264409542,0.002558718202635646,0.0034224779810756445,0.0005395906046032906,0.0019320702413097024,0.001102146226912737,0.04790607839822769,0.040720757097005844,0.0011273397831246257,0.6228083968162537,0.00172637146897614,0.040730249136686325,0.6229289174079895,0.001128170290030539,0.0017314242431893945,0.0015842318534851074,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09,1.024251794490283e-09
420.0,0.0023978909011930227,0.0028801709413528442,0.0038461401127278805,0.0006095910794101655,0.0021719811484217644,0.001156229991465807,0.05025701969861984,0.042716797441244125,0.0011830084258690476,0.6533980369567871,0.001811197493225336,0.04272807016968727,0.6534808874130249,0.0011846998240798712,0.0018171407282352448,0.0016636113869026303,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09,1.028007012848775e-09
480.0,0.00266161747276783,0.0032015403266996145,0.004269568249583244,0.0006796026136726141,0.0024117780849337578,0.001210464397445321,0.052614759653806686,0.04471826180815697,0.001238859724253416,0.6840792298316956,0.001896252972073853,0.044731348752975464,0.6841160655021667,0.0012415118981152773,0.0019030938856303692,0.001743384636938572,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.031762675296477e-09,1.031762675296477e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.031762675296477e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.031762675296477e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.031762675296477e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09,1.0317625642741746e-09
540.0,0.002925168490037322,0.003522719256579876,0.004692717920988798,0.0007495745667256415,0.002651420421898365,0.0012648034607991576,0.05497729405760765,0.046723488718271255,0.0012948446674272418,0.7148256897926331,0.001981467707082629,0.046738408505916595,0.7148088812828064,0.0012985453940927982,0.001989212818443775,0.001823468948714435,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09,1.0355184487664815e-09
600.0,0.0031885942444205284,0.003843843936920166,0.0051156808622181416,0.0008195572881959379,0.00289096194319427,0.0013192332116886973,0.05734400078654289,0.04873192682862282,0.001350949052721262,0.7456279397010803,0.002066819230094552,0.048748720437288284,0.745549738407135,0.0013557872734963894,0.002075475174933672,0.0019038456957787275,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09,1.0392744442810908e-09
