TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0003150994307361543,0.0003736171347554773,0.0005046774749644101,7.768067007418722e-05,0.00028409206424839795,7.619774260092527e-05,0.00331001915037632,0.0028145057149231434,7.798473961884156e-05,0.043026648461818695,0.00011949375766562298,0.002816024236381054,0.04306860268115997,7.784498302498832e-05,0.0001203238862217404,0.00010931234282907099,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09,1.0038337938667041e-09
120.0,0.0006275936611928046,0.000744147109799087,0.00100518052931875,0.00015471836377400905,0.0005658349255099893,0.00015176442684605718,0.006592689082026482,0.005605756305158138,0.00015532383986283094,0.08569782972335815,0.00023799903283361346,0.005608780775219202,0.08578139543533325,0.00015504546172451228,0.00023965243599377573,0.0002177198330173269,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09,1.0076358636368354e-09
180.0,0.003239064011722803,0.0026073299814015627,0.004913352895528078,0.0004093386814929545,0.0024746214039623737,0.00032380191260017455,0.01029967050999403,0.010048024356365204,0.0005019161617383361,0.1291511207818985,0.0008062206907197833,0.012039558961987495,0.1841685026884079,0.0003186370595358312,0.001894830958917737,0.00044563558185473084,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09,5.810970371555868e-09
240.0,0.0049341036938130856,0.003875498892739415,0.00746314600110054,0.0005931699415668845,0.003734827972948551,0.0004573837504722178,0.013837486505508423,0.013832144439220428,0.0007411768892779946,0.1722925454378128,0.0011951732449233532,0.017020119354128838,0.26036229729652405,0.00044779066229239106,0.002937779761850834,0.00062591303139925,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09,8.70108873840536e-09
300.0,0.005246603861451149,0.004246023017913103,0.00796365737915039,0.0006702079554088414,0.00401657447218895,0.0005329502746462822,0.017120106145739555,0.01662342995405197,0.0008185154874809086,0.21496349573135376,0.0013136779889464378,0.01981290988624096,0.30307483673095703,0.0005249906680546701,0.0030571077950298786,0.0007343222387135029,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09,8.704890142041677e-09
360.0,0.005559104029089212,0.004616546910256147,0.008464154787361622,0.00074724608566612,0.004298322834074497,0.0006085180211812258,0.020402725785970688,0.019414737820625305,0.0008958557737059891,0.2576344609260559,0.0014321827329695225,0.02260572463274002,0.3457874059677124,0.0006021923618391156,0.0031764358282089233,0.0008427314460277557,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09,8.708692433856413e-09
420.0,0.005871604196727276,0.004987070802599192,0.008964652195572853,0.0008242842159233987,0.0045800707302987576,0.0006840858841314912,0.02368536964058876,0.02220604382455349,0.0009731960599310696,0.30030542612075806,0.0015506874769926071,0.025398537516593933,0.3884999752044678,0.0006793940556235611,0.003295763861387968,0.0009511407115496695,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09,8.71249472567115e-09
480.0,0.006184104364365339,0.005357591900974512,0.009465149603784084,0.0009013222879730165,0.004861818626523018,0.0007596537470817566,0.02696804516017437,0.024997351691126823,0.001050536404363811,0.3429763913154602,0.0016691922210156918,0.028191350400447845,0.43121254444122314,0.0007565957494080067,0.003415091894567013,0.0010595467174425721,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09,8.716297017485886e-09
540.0,0.006496604532003403,0.005728112533688545,0.009965647011995316,0.0009783604182302952,0.005143565125763416,0.0008352218428626657,0.03025071881711483,0.027788659557700157,0.0011278771562501788,0.38564735651016235,0.0017876969650387764,0.030984163284301758,0.4739251434803009,0.0008337979670614004,0.003534420160576701,0.0011679524322971702,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09,8.720098421122202e-09
600.0,0.006809107959270477,0.006098632700741291,0.010466144420206547,0.001055398490279913,0.005425299517810345,0.0009107914520427585,0.03353339433670044,0.03057996556162834,0.0012052190722897649,0.4283168911933899,0.001906201709061861,0.03377697616815567,0.516636312007904,0.0009110012324526906,0.003653748193755746,0.0012763581471517682,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09,8.723900712936938e-09
660.0,0.007121611852198839,0.006469152867794037,0.010966641828417778,0.0011324365623295307,0.005707032512873411,0.0009863610612228513,0.0368160679936409,0.033371273428201675,0.001282557612285018,0.4709860682487488,0.0020247064530849457,0.03656979277729988,0.5593470931053162,0.0009882011217996478,0.0037730762269347906,0.0013847638620063663,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09,8.727703004751675e-09
720.0,0.007434115279465914,0.006839673034846783,0.01146713923662901,0.0012094747507944703,0.005988765973597765,0.001061930670402944,0.04009874537587166,0.03616258129477501,0.001359896152280271,0.5136552453041077,0.0021432111971080303,0.03936260566115379,0.6020578742027283,0.0010654011275619268,0.0038924042601138353,0.0014931695768609643,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09,8.731504408387991e-09
780.0,0.007746618706732988,0.007210193667560816,0.01196763664484024,0.00128651293925941,0.0062704989686608315,0.0011375003959983587,0.04338141903281212,0.03895388916134834,0.0014372346922755241,0.5563244223594666,0.002261715941131115,0.042155418545007706,0.6447686553001404,0.001142601016908884,0.004011732526123524,0.0016015752917155623,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09,8.735306700202727e-09
840.0,0.00805912259966135,0.007580731529742479,0.012468134053051472,0.0013635511277243495,0.006552232429385185,0.0012130700051784515,0.04666409268975258,0.04174519702792168,0.001514573348686099,0.5989935994148254,0.0023802209179848433,0.04494823142886162,0.6874794363975525,0.001219801022671163,0.004131060093641281,0.0017099811229854822,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09,8.739108992017464e-09
900.0,0.008371627889573574,0.007951280102133751,0.012968631461262703,0.001440589316189289,0.006833965424448252,0.0012886396143585443,0.04994677007198334,0.04453650489449501,0.0015919118886813521,0.6416627764701843,0.002498725662007928,0.04774104803800583,0.7301902174949646,0.0012970009120181203,0.004250388126820326,0.0018183926586061716,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09,8.7429112838322e-09
960.0,0.008684133179485798,0.008321828208863735,0.013469128869473934,0.0015176264569163322,0.0071156988851726055,0.0013642092235386372,0.0532294437289238,0.04732774198055267,0.0016692504286766052,0.6843319535255432,0.0026172304060310125,0.05053379014134407,0.7729009985923767,0.0013742009177803993,0.004369716159999371,0.0019268053583800793,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09,8.746712687468516e-09
1020.0,0.008996617048978806,0.00869237631559372,0.013969626277685165,0.0015946576604619622,0.007397431880235672,0.00143977883271873,0.05651211738586426,0.05011893808841705,0.0017465889686718583,0.7270011305809021,0.002735735150054097,0.05332649499177933,0.8156117796897888,0.0014514008071273565,0.004489044193178415,0.002035218058153987,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09,8.750514979283253e-09
1080.0,0.009309093467891216,0.009062924422323704,0.014470123685896397,0.0016716888640075922,0.007679170463234186,0.00151534762699157,0.059794794768095016,0.05291004478931427,0.0018239275086671114,0.769670307636261,0.002854239894077182,0.056119102984666824,0.8583225607872009,0.0015286008128896356,0.00460837222635746,0.0021436307579278946,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09,8.754317271097989e-09
1140.0,0.009621563367545605,0.009433472529053688,0.014970621094107628,0.0017487200675532222,0.007960931397974491,0.001590913743712008,0.06307746469974518,0.05570101737976074,0.0019012660486623645,0.8123395442962646,0.0029727446381002665,0.058911584317684174,0.9010334014892578,0.0016058007022365928,0.004727700259536505,0.0022520434577018023,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09,8.758118674734305e-09
1200.0,0.009934034198522568,0.009804021567106247,0.015471118502318859,0.0018257512710988522,0.008242689073085785,0.001666479860432446,0.06636014580726624,0.058491986244916916,0.0019786052871495485,0.8550086617469788,0.003091249382123351,0.061704061925411224,0.9437441825866699,0.0016830014064908028,0.0048470282927155495,0.00236045615747571,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09,8.761920966549042e-09
