TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.00015595699369441718,0.00017987799947150052,0.000248665310209617,3.685700357891619e-05,0.00013878787285648286,3.548080348991789e-05,0.0015397192910313606,0.0013097486225888133,3.6382545658852905e-05,0.020012740045785904,5.5762902775313705e-05,0.0013112672604620457,0.020054694265127182,3.6242781789042056e-05,5.659303496940993e-05,5.0892322178697214e-05,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09,1.003745198069339e-09
120.0,0.0003106241056229919,0.0003582689678296447,0.0004952747840434313,7.340854790527374e-05,0.00027642736677080393,7.066788384690881e-05,0.0030667129904031754,0.00260867178440094,7.246452878462151e-05,0.03985999897122383,0.00011106573219876736,0.00261170556768775,0.03994380682706833,7.218531391117722e-05,0.0001127241484937258,0.00010136343189515173,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09,1.007481653658715e-09
180.0,0.0004653292999137193,0.0005366597324609756,0.0007419175235554576,0.00010996008495567366,0.0004140700330026448,0.00010586504504317418,0.004593736492097378,0.003907767590135336,0.0001085753901861608,0.059707384556531906,0.00016641664842609316,0.003912529442459345,0.059838928282260895,0.00010813716653501615,0.00016901962226256728,0.0001518472854513675,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09,1.0117316984192826e-09
240.0,0.0006202874355949461,0.0007150498568080366,0.000988897867500782,0.00014651169476564974,0.0005518284160643816,0.0001410764962201938,0.006120827980339527,0.005207117646932602,0.00014472691691480577,0.07955510914325714,0.00022183542023412883,0.00521390326321125,0.07974257320165634,0.00014410240692086518,0.0002255449362564832,0.00020234922703821212,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09,1.0166978370307334e-09
300.0,0.0007755273836664855,0.0008934994111768901,0.001236284733749926,0.00018306286074221134,0.0006897634011693299,0.0001763024047249928,0.007648017723113298,0.006506725680083036,0.0001809184905141592,0.09940307587385178,0.00027732146554626524,0.006515830289572477,0.09965455532073975,0.00018008060578722507,0.0002822983078658581,0.000252869154792279,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09,1.0223742963333393e-09
360.0,0.0009310462046414614,0.0010720629943534732,0.0014840764924883842,0.00021961376478429884,0.0008278722525574267,0.00021154269052203745,0.009175273589789867,0.007806604262441397,0.0002171492378693074,0.11925114691257477,0.00033287389669567347,0.007818318903446198,0.11957482993602753,0.00021607111557386816,0.0003392776707187295,0.0003034068795386702,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09,1.0287561913457921e-09
420.0,0.0010868411045521498,0.001250738394446671,0.0017322655767202377,0.0002561646397225559,0.00096615229267627,0.00024679722264409065,0.010702596977353096,0.009106729179620743,0.0002534191880840808,0.13909964263439178,0.00038849213160574436,0.009121345356106758,0.1395033299922943,0.00025207409635186195,0.0003964814532082528,0.0003539623285178095,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09,1.035838526064481e-09
480.0,0.0012429081834852695,0.0014295236906036735,0.001980843022465706,0.00029271573293954134,0.001104600727558136,0.0002820658846758306,0.012229987420141697,0.010407100431621075,0.000289728312054649,0.1589481383562088,0.0004441741621121764,0.010424904525279999,0.15943998098373413,0.00028808979550376534,0.0004539063957054168,0.0004045352980028838,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09,1.0436165265303998e-09
540.0,0.0013992435997352004,0.0016084166709333658,0.0022298034746199846,0.0003292679029982537,0.0012432150542736053,0.0003173485747538507,0.013757394626736641,0.011707714758813381,0.00032607634784653783,0.17879705131053925,0.0004999211523681879,0.011728992685675621,0.1793847531080246,0.00032411806751042604,0.0005115527310408652,0.0004551257297862321,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09,1.0520855298068454e-09
600.0,0.0015558431623503566,0.0017874155892059207,0.002479140879586339,0.00036582068423740566,0.0013819924788549542,0.00035264523467049,0.015284864231944084,0.013008568435907364,0.00036246300442144275,0.19864597916603088,0.0005557326949201524,0.013033606112003326,0.19933755695819855,0.0003601588832680136,0.0005694188294000924,0.0005057334783487022,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09,1.0612406509125094e-09
