TIME,I131,I132,I133,I134,I135,KR83M,KR85M,KR85,KR87,KR88,XE131M,XE133M,XE133,XE135M,XE135,XE138,CO58,CO60,RB86,SR89,SR90,Y90,Y91,ZR95,NB95,MO99,TC99M,RU103,RU106,SB127,TE127,TE127M,TE129,TE129M,TE132,CS134,CS136,CS137,BA140,LA140,CE141,CE144,PR143,ND147,NP239,PU238,PU239,PU240,PU241,AM241,CM242,CM244
60.0,0.0025771050713956356,0.0018422678112983704,0.003857546951621771,0.0002524076553527266,0.001884968252852559,0.0001711169898044318,0.0037274749483913183,0.004438993986696005,0.00034290869371034205,0.043796390295028687,0.000561978027690202,0.006395566277205944,0.0978478491306305,0.00016284726734738797,0.001631476217880845,0.00022689889010507613,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09,5.7261835273436645e-09
120.0,0.005318647716194391,0.0037899028975516558,0.007958517409861088,0.0005170754157006741,0.003885807003825903,0.0003486123459879309,0.007458428852260113,0.008974696509540081,0.0007047353428788483,0.08729416131973267,0.0011556430254131556,0.013032200746238232,0.1993851661682129,0.00033132717362605035,0.003373549785465002,0.0004615762736648321,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08,1.0801067595878067e-08
180.0,0.007952649146318436,0.005667715333402157,0.011900089681148529,0.0007734363898634911,0.005810541100800037,0.0005215953569859266,0.01116956863552332,0.013433149084448814,0.0010539675131440163,0.13075511157512665,0.0017282721819356084,0.019498636946082115,0.29831796884536743,0.0004957655328325927,0.005043781828135252,0.0006906634662300348,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08,1.5651448137532498e-08
240.0,0.010479995049536228,0.007476275321096182,0.015683574602007866,0.0010215584188699722,0.007659789640456438,0.0006901028100401163,0.014860987663269043,0.01781499944627285,0.0013907072134315968,0.17417976260185242,0.0022800369188189507,0.02579628862440586,0.39466771483421326,0.0006561956834048033,0.006642760243266821,0.0009142068447545171,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08,2.027915613211917e-08
300.0,0.012904154136776924,0.009217835031449795,0.019314102828502655,0.0012617098400369287,0.009436010383069515,0.0008542794967070222,0.018533315509557724,0.02212280035018921,0.0017153609078377485,0.21756930649280548,0.0028116153553128242,0.03193069249391556,0.48851850628852844,0.0008127478649839759,0.008172797039151192,0.0011323869694024324,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08,2.4691431121937057e-08
360.0,0.015229657292366028,0.010895341634750366,0.022798392921686172,0.0014942417619749904,0.011142405681312084,0.0010143177350983024,0.022187435999512672,0.02635977417230606,0.0020284622441977262,0.2609252631664276,0.003323895623907447,0.03790901601314545,0.5799802541732788,0.0009655948379077017,0.009636931121349335,0.0013454391155391932,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08,2.8897744641653844e-08
420.0,0.017461488023400307,0.0125120272859931,0.026143843308091164,0.0017195374239236116,0.012782514095306396,0.001170425326563418,0.025824297219514847,0.030529474839568138,0.0023305932991206646,0.3042493760585785,0.003817852819338441,0.043739113956689835,0.6691738963127136,0.0011149222264066339,0.011038489639759064,0.001553621725179255,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08,3.2908502589634736e-08
480.0,0.019605400040745735,0.014071628451347351,0.029358970001339912,0.0019380432786419988,0.014360398054122925,0.0013228438328951597,0.02944496087729931,0.034636035561561584,0.0026224269531667233,0.34754353761672974,0.004294613376259804,0.04943007603287697,0.7562379837036133,0.0012609452242031693,0.01238130871206522,0.0017572306096553802,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08,3.6735723796255115e-08
540.0,0.02080204337835312,0.015016199089586735,0.031169990077614784,0.0020833765156567097,0.0152678731828928,0.0014355125604197383,0.03289080411195755,0.03806230053305626,0.002803317504003644,0.39051538705825806,0.004586069844663143,0.053622014820575714,0.8203619122505188,0.001371371909044683,0.013091298751533031,0.0019115969771519303,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08,3.858534114442591e-08
600.0,0.021114546805620193,0.01538671925663948,0.03167048841714859,0.0021604145877063274,0.015549607574939728,0.001511082169599831,0.03617348149418831,0.04085360839962959,0.00288065942004323,0.4331849217414856,0.004704574588686228,0.056414827704429626,0.8630731105804443,0.0014485751744359732,0.013210626319050789,0.00202000280842185,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08,3.858914254806223e-08
