TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
0.0,155.50001525878906,310.0,327.823974609375,327.8232116699219,292.1760559082031,292.1767883300781,16515.818359375,33031.63671875,67.00003051757812,67.00004577636719,1915.810302734375,3831.62060546875,1915.86474609375,3831.56591796875,289.6449890136719,62.0,2.973992195620667e-06,0.0,0.0,2582.676025390625,1290.2734375,0.0,23.700000762939453,2895.0,11.830000877380371,11.830000877380371,971.0827026367188,1942.0826416015625,50.0,50.0,100.0,0.0,0.0,344.9923095703125,0.0,7.924896240234375,17.16834259033203,17.16908836364746,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,2.3000001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,100.0,100.0,788.9000244140625,788.9000244140625,788.9000244140625,549.4500122070312,0.0,0.0,23.700000762939453,0.0010999999940395355,0.02200000174343586,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.0,3.1392715754918754e-05,0.6668071150779724,0.0,0.0001689466880634427,1.691944635240361e-05,0.0,0.0,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,1.0,1.0,1.0000001192092896,0.0
10.0,160.46253967285156,314.1302490234375,324.71099853515625,324.6977844238281,300.563720703125,300.57696533203125,16430.958984375,32932.1953125,81.47230529785156,81.47272491455078,1563.997802734375,3128.15576171875,461.3240661621094,923.8163452148438,293.83966064453125,72.5525894165039,-2.9061980058031622e-06,0.0,0.0,2567.9287109375,1359.6502685546875,0.0,-5.413074859461631e-07,1666.8782958984375,12.443679809570312,12.443684577941895,556.6521606445312,1113.6695556640625,41.778133392333984,41.78505325317383,0.0,0.0,0.0,347.51947021484375,0.0,7.924896240234375,22.8084659576416,22.82168960571289,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,3.9798779487609863,0.0,0.0,136.1999969482422,0.0,0.0,0.0,0.0,-0.0,-0.5018243789672852,0.31351587176322937,-0.010799998417496681,-0.19910848140716553,42.719322204589844,57.57783508300781,578.8641967773438,589.8423461914062,589.8423461914062,451.9721984863281,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021956218406558037,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.043423525989055634,3.1392715754918754e-05,14.002949714660645,658.838134765625,0.0014776241732761264,3.770563853322528e-05,104.22347259521484,208.44825744628906,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9969895482063293,0.9962803721427917,0.0
20.0,157.03009033203125,313.07232666015625,322.4437561035156,322.43463134765625,304.2159729003906,304.22509765625,16430.958984375,32897.20703125,84.69928741455078,84.69940948486328,1479.3837890625,2958.839111328125,728.2239379882812,1456.7659912109375,292.8278503417969,70.00711822509766,-4.729555257654283e-06,0.0,0.0,2577.623779296875,1365.8199462890625,0.0,-5.413074859461631e-07,1213.9869384765625,12.771733283996582,12.771676063537598,443.93756103515625,887.9683227539062,48.61520004272461,48.616188049316406,0.0,0.0,0.0,345.86700439453125,0.0,7.924896240234375,23.423259735107422,23.43238067626953,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,5.461355686187744,0.0,0.0,136.1999969482422,0.0,0.0,0.0,0.0,-0.0,-0.36911559104919434,0.4330698251724243,-0.02031034044921398,0.04364389181137085,44.17074966430664,41.93391799926758,515.5877685546875,513.93505859375,513.93505859375,413.5243225097656,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021825551986694336,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04507238045334816,3.1392715754918754e-05,27.339092254638672,2632.743408203125,0.0015273165190592408,3.849492350127548e-05,108.82899475097656,217.65834045410156,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
30.0,156.53848266601562,313.13787841796875,321.27984619140625,321.27191162109375,304.8939514160156,304.90191650390625,16430.958984375,32897.20703125,84.62742614746094,84.62754821777344,1400.19482421875,2800.485107421875,814.3989868164062,1629.1182861328125,292.4544982910156,69.06795501708984,4.537977019936079e-06,0.0,0.0,2579.656982421875,1366.0855712890625,0.0,-5.413074859461631e-07,1346.9407958984375,12.97586727142334,12.975776672363281,445.45794677734375,891.0115356445312,51.94501876831055,51.94562530517578,0.0,0.0,0.0,345.51617431640625,0.0,7.924896240234375,24.23631477355957,24.24424934387207,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,4.922350883483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3772576153278351,0.3984137177467346,-0.03831036016345024,-0.017154257744550705,45.67007064819336,46.526451110839844,535.3062133789062,535.93896484375,535.93896484375,424.5313415527344,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021693885326385498,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04478619620203972,3.1392715754918754e-05,40.675209045410156,4633.779296875,0.0015186916571110487,3.8357931771315634e-05,108.79430389404297,217.58895874023438,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
40.0,156.05718994140625,312.934326171875,321.2713317871094,321.263427734375,304.8465576171875,304.8544921875,16430.958984375,32897.20703125,84.14312744140625,84.14325714111328,1329.1756591796875,2658.469970703125,874.427001953125,1749.1353759765625,292.1973876953125,68.42109680175781,9.960864417735138e-07,0.0,0.0,2580.881591796875,1364.1527099609375,0.0,-5.413074859461631e-07,1278.739013671875,13.12784481048584,13.127721786499023,452.182861328125,904.4625854492188,54.37812805175781,54.37826156616211,0.0,0.0,0.0,345.3040771484375,0.0,7.924896240234375,24.03272819519043,24.040630340576172,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,5.184961795806885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.35202160477638245,0.41644585132598877,-0.05631035566329956,0.008113866671919823,44.46760177612305,44.17060470581055,524.7094116210938,524.489990234375,524.489990234375,418.7234191894531,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021563466638326645,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04427233338356018,3.1392715754918754e-05,54.011314392089844,6627.91943359375,0.0015032053925096989,3.811195711023174e-05,108.19651794433594,216.39337158203125,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
50.0,155.3636932373047,312.699462890625,321.0326843261719,321.0246887207031,304.5426940917969,304.5506591796875,16430.958984375,32897.20703125,83.60155487060547,83.60167694091797,1258.0743408203125,2516.2900390625,873.7127075195312,1747.706787109375,291.7396240234375,67.26944732666016,-4.437435109139187e-06,0.0,0.0,2583.032958984375,1362.460205078125,0.0,-5.413074859461631e-07,1342.66943359375,13.247671127319336,13.247523307800293,455.1348876953125,910.3633422851562,55.79975891113281,55.79958724975586,0.0,0.0,0.0,344.9301452636719,0.0,7.924896240234375,23.89746856689453,23.90546989440918,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,4.938188076019287,0.0,0.0,0.0,0.0,34.7540448229318,0.0,0.0,-0.0,-0.3230339288711548,0.40019211173057556,-0.07431032508611679,0.0028478410094976425,46.72413635253906,46.378910064697266,535.0648803710938,534.809814453125,534.809814453125,423.7554931640625,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.02143469825387001,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04371744394302368,3.1392715754918754e-05,67.34744262695312,8608.5966796875,0.0014864818658679724,3.784633008763194e-05,107.48223876953125,214.9647979736328,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
60.0,155.0633087158203,312.63397216796875,320.977783203125,320.9697265625,304.39129638671875,304.39935302734375,16430.958984375,32897.20703125,83.3426284790039,83.34275817871094,1190.322021484375,2380.800048828125,873.3667602539062,1747.014892578125,291.54925537109375,66.79059600830078,2.8197239316796185e-06,0.0,0.0,2583.896728515625,1361.955078125,0.0,-5.413074859461631e-07,1330.484375,13.350767135620117,13.35059928894043,456.3078308105469,912.7047119140625,57.00896072387695,57.008460998535156,0.0,0.0,0.0,344.7795104980469,0.0,7.924896240234375,23.80171012878418,23.809782028198242,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,4.983459949493408,0.0,0.0,0.0,0.0,118.95909673775901,0.0,0.0,-0.0,-0.31497853994369507,0.4034614861011505,-0.09231029450893402,-0.003827327862381935,45.672977447509766,45.9580078125,532.5234375,532.7340087890625,532.7340087890625,422.68756103515625,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021307310089468956,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04331773519515991,3.1392715754918754e-05,80.68362426757812,10579.828125,0.0014744356740266085,3.765499059227295e-05,107.13623809814453,214.27281188964844,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
70.0,154.60479736328125,312.4803161621094,320.79693603515625,320.788818359375,304.3052673339844,304.31329345703125,16430.958984375,32897.20703125,83.1713638305664,83.17147827148438,1126.969482421875,2254.11279296875,873.1448364257812,1746.57080078125,291.2462463378906,66.02825927734375,-2.994586623117357e-07,0.0,0.0,2585.241455078125,1361.517333984375,0.0,-5.413074859461631e-07,1320.6728515625,13.435354232788086,13.435172080993652,452.0898132324219,904.2623901367188,58.00183868408203,58.00106430053711,0.0,0.0,0.0,344.5443420410156,0.0,7.924896240234375,23.74742317199707,23.75552749633789,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,5.0205535888671875,0.0,0.0,0.0,0.0,250.41711351268808,0.0,0.0,-0.0,-0.2961159348487854,0.4062609076499939,-0.11031036823987961,-0.0001653917133808136,45.60028839111328,45.61909484863281,530.9426879882812,530.9566040039062,530.9566040039062,421.7216796875,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.021180985495448112,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.042971715331077576,3.1392715754918754e-05,94.01980590820312,12546.2685546875,0.0014640073059126735,3.7489353417186067e-05,106.9142837524414,213.82888793945312,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
80.0,154.24786376953125,312.37457275390625,320.6068420410156,320.5987548828125,304.2515869140625,304.2596130371094,16430.958984375,32897.20703125,83.03327178955078,83.03338623046875,1068.4002685546875,2136.9912109375,872.977294921875,1746.19873046875,290.99407958984375,65.39385986328125,-2.8969473078177543e-06,0.0,0.0,2586.294189453125,1361.280517578125,0.0,-5.413074859461631e-07,1312.5172119140625,13.50185489654541,13.501659393310547,448.6206970214844,897.3196411132812,58.782291412353516,58.78136444091797,0.0,0.0,0.0,344.3597717285156,0.0,7.924896240234375,23.75295066833496,23.76102066040039,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,5.051805019378662,0.0,0.0,0.0,0.0,314.99998519276,0.0,0.0,-0.0,-0.2831737697124481,0.4085540175437927,-0.1283104568719864,-0.0029301904141902924,45.144535064697266,45.33738327026367,529.358154296875,529.5006713867188,529.5006713867188,420.9402770996094,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.02105564810335636,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04264555498957634,3.1392715754918754e-05,107.35598754882812,14509.0068359375,0.0014541776617988944,3.733322591870092e-05,106.73440551757812,213.46908569335938,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
90.0,153.91612243652344,312.2543640136719,320.4166564941406,320.40863037109375,304.21240234375,304.220458984375,16430.958984375,32897.20703125,82.91511535644531,82.91522979736328,1014.7396240234375,2029.6815185546875,872.8314208984375,1745.888427734375,290.7332458496094,64.73772430419922,2.576762483386119e-07,0.0,0.0,2587.27587890625,1361.036376953125,0.0,-5.413074859461631e-07,1297.4022216796875,13.551575660705566,13.551373481750488,444.40557861328125,888.8856201171875,59.36571502685547,59.36460876464844,0.0,0.0,0.0,344.18731689453125,0.0,7.924896240234375,23.77068519592285,23.7786865234375,0.0,1.034000039100647,0.9067617654800415,50.0,0.09999999403953552,5.110711574554443,0.0,0.0,0.0,0.0,1176.9999527455907,0.0,0.0,-0.0,-0.26849403977394104,0.41268011927604675,-0.14631053805351257,-0.002124454826116562,44.668434143066406,44.815277099609375,526.7723999023438,526.8809204101562,526.8809204101562,419.57073974609375,0.0,0.0,-5.413074859461631e-07,0.0010999999940395355,0.020931242033839226,0.03299999609589577,0.04399999976158142,5655.8173828125,114276.53125,0.02126905508339405,0.04233317822217941,3.1392715754918754e-05,120.69216918945312,16468.78125,0.0014447635039687157,3.7183697713771835e-05,106.58234405517578,213.1649627685547,23.700000762939453,0.0,0.0,1600.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,200.0,0.9948619604110718,0.9959302544593811,0.9955741763114929,0.0
